symbol,token,name
EBBE23INAV-EQ,10012,EBBE23INAV
ICICI5INAV-EQ,10048,ICICI5INAV
MONQ50INAV-EQ,10128,MONQ50INAV
AXISBNKETF-EQ,1044,AXISBNKETF
STEELCITY-EQ,10406,STEELCITY
KSHITIJPOL-EQ,10407,KSHITIJPOL
ARVSMART-EQ,10457,ARVSMART
MOHEALTH-EQ,10508,MOHEALTH
NIFTYBETA-EQ,10511,NIFTYBETA
HDF100INAV-EQ,10583,HDF100INAV
HDFCNIF100-EQ,10633,HDFCNIF100
TEAMGTY-EQ,10717,TEAMGTY
CANBK-EQ,10794,CANBK
NOIDATOLL-EQ,10786,NOIDATOLL
HDFCSILVER-EQ,10876,HDFCSILVER
GENESYS-EQ,10905,GENESYS
GODREJIND-EQ,10925,GODREJIND
BANKIETF-EQ,11037,BANKIETF
KSOLVES-EQ,11060,KSOLVES
IDFCFIRSTB-EQ,11184,IDFCFIRSTB
NSIL-EQ,11239,NSIL
TTKHLTCARE-EQ,11369,TTKHLTCARE
NDTV-EQ,11427,NDTV
TRACXN-EQ,11582,TRACXN
NEWGEN-EQ,1164,NEWGEN
GUFICBIO-EQ,11606,GUFICBIO
ALKEM-EQ,11703,ALKEM
AMBER-EQ,1185,AMBER
VIVIMEDLAB-EQ,11965,VIVIMEDLAB
HTMEDIA-EQ,11979,HTMEDIA
ICIL-EQ,11987,ICIL
FAZE3Q-EQ,12000,FAZE3Q
DELTAMAGNT-EQ,1214,DELTAMAGNT
OSIAHYPER-EQ,12635,OSIAHYPER
HYBRIDFIN-EQ,12809,HYBRIDFIN
CELEBRITY-EQ,13162,CELEBRITY
ENIL-EQ,13192,ENIL
MARINE-EQ,1328,MARINE
VISASTEEL-EQ,13295,VISASTEEL
KFINTECH-EQ,13359,KFINTECH
KKCL-EQ,13381,KKCL
EMKAY-EQ,13421,EMKAY
KELLTONTEC-EQ,13430,KELLTONTEC
PFOCUS-EQ,13496,PFOCUS
GMRAIRPORT-EQ,13528,GMRAIRPORT
RAMANEWS-EQ,13565,RAMANEWS
RADIANTCMS-EQ,13580,RADIANTCMS
ANTELOPUS-EQ,13598,ANTELOPUS
NRL-EQ,13675,NRL
INSPIRISYS-EQ,13730,INSPIRISYS
